"model_name","parent_class_id","parent_id","parent_name","collection_id","collection_name","category_id","category_name","category_rank","child_id","child_name","band_id","timeslice_name","sample_name","_date","period_id","unit_id","unit_name","interval_id","phase_id","phase_name","Generation (GWh)","Installed Capacity (MW)","Units Built","Units Retired","Capacity Built (MW)","Capacity Retired (MW)","Build Cost ($000)"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","2","257S Hull DER Solar","1","All Periods","Mean","12/31/2023 12:00:00 AM","1","2","GWh","1","1","LT Plan","57.25467500001","25","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","2","257S Hull DER Solar","1","All Periods","Mean","12/31/2024 12:00:00 AM","2","2","GWh","2","1","LT Plan","54.54885000008","25","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","2","257S Hull DER Solar","1","All Periods","Mean","12/31/2025 12:00:00 AM","3","2","GWh","3","1","LT Plan","54.661339302","25","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","2","257S Hull DER Solar","1","All Periods","Mean","12/31/2026 12:00:00 AM","4","2","GWh","4","1","LT Plan","54.00110000003","25","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","2","257S Hull DER Solar","1","All Periods","Mean","12/31/2027 12:00:00 AM","5","2","GWh","5","1","LT Plan","51.81919900188","25","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","2","257S Hull DER Solar","1","All Periods","Mean","12/31/2028 12:00:00 AM","6","2","GWh","6","1","LT Plan","52.40262499998","25","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","2","257S Hull DER Solar","1","All Periods","Mean","12/31/2029 12:00:00 AM","7","2","GWh","7","1","LT Plan","54.07575000002","25","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","2","257S Hull DER Solar","1","All Periods","Mean","12/31/2030 12:00:00 AM","8","2","GWh","8","1","LT Plan","53.80275000001","25","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","2","257S Hull DER Solar","1","All Periods","Mean","12/31/2031 12:00:00 AM","9","2","GWh","9","1","LT Plan","57.66712500007","25","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","2","257S Hull DER Solar","1","All Periods","Mean","12/31/2032 12:00:00 AM","10","2","GWh","10","1","LT Plan","54.03580000007","25","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","2","257S Hull DER Solar","1","All Periods","Mean","12/31/2033 12:00:00 AM","11","2","GWh","11","1","LT Plan","57.25642499998","25","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","2","257S Hull DER Solar","1","All Periods","Mean","12/31/2034 12:00:00 AM","12","2","GWh","12","1","LT Plan","57.03607499998","25","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","2","257S Hull DER Solar","1","All Periods","Mean","12/31/2035 12:00:00 AM","13","2","GWh","13","1","LT Plan","57.10347499997","25","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","2","257S Hull DER Solar","1","All Periods","Mean","12/31/2036 12:00:00 AM","14","2","GWh","14","1","LT Plan","57.41705631031","25","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","2","257S Hull DER Solar","1","All Periods","Mean","12/31/2037 12:00:00 AM","15","2","GWh","15","1","LT Plan","56.72142500003","25","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","2","257S Hull DER Solar","1","All Periods","Mean","12/31/2038 12:00:00 AM","16","2","GWh","16","1","LT Plan","57.37164999998","25","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","2","257S Hull DER Solar","1","All Periods","Mean","12/31/2039 12:00:00 AM","17","2","GWh","17","1","LT Plan","57.23702499985","25","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","2","257S Hull DER Solar","1","All Periods","Mean","12/31/2040 12:00:00 AM","18","2","GWh","18","1","LT Plan","57.23899999997","25","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","2","257S Hull DER Solar","1","All Periods","Mean","12/31/2041 12:00:00 AM","19","2","GWh","19","1","LT Plan","57.66085000011","25","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","2","257S Hull DER Solar","1","All Periods","Mean","12/31/2042 12:00:00 AM","20","2","GWh","20","1","LT Plan","57.54865000007","25","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","2","257S Hull DER Solar","1","All Periods","Mean","12/31/2043 12:00:00 AM","21","2","GWh","21","1","LT Plan","57.47269999998","25","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","2","257S Hull DER Solar","1","All Periods","Mean","12/31/2044 12:00:00 AM","22","2","GWh","22","1","LT Plan","57.27142500005","25","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","2","257S Hull DER Solar","1","All Periods","Mean","12/31/2045 12:00:00 AM","23","2","GWh","23","1","LT Plan","57.25467500002","25","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","2","257S Hull DER Solar","1","All Periods","Mean","12/31/2046 12:00:00 AM","24","2","GWh","24","1","LT Plan","57.41275000007","25","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","2","257S Hull DER Solar","1","All Periods","Mean","12/31/2047 12:00:00 AM","25","2","GWh","25","1","LT Plan","57.72087500008","25","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","2","257S Hull DER Solar","1","All Periods","Mean","12/31/2048 12:00:00 AM","26","2","GWh","26","1","LT Plan","55.45417499996","25","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","2","257S Hull DER Solar","1","All Periods","Mean","12/31/2049 12:00:00 AM","27","2","GWh","27","1","LT Plan","55.41272500001","25","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","2","257S Hull DER Solar","1","All Periods","Mean","12/31/2050 12:00:00 AM","28","2","GWh","28","1","LT Plan","55.29049999978","25","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","2","257S Hull DER Solar","1","All Periods","Mean","12/31/2051 12:00:00 AM","29","2","GWh","29","1","LT Plan","57.25467499985","25","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","2","257S Hull DER Solar","1","All Periods","Mean","12/31/2052 12:00:00 AM","30","2","GWh","30","1","LT Plan","57.848175","25","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","3","421S Hays DG PV","1","All Periods","Mean","12/31/2023 12:00:00 AM","1","2","GWh","1","1","LT Plan","54.96448799995","24","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","3","421S Hays DG PV","1","All Periods","Mean","12/31/2024 12:00:00 AM","2","2","GWh","2","1","LT Plan","52.366896","24","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","3","421S Hays DG PV","1","All Periods","Mean","12/31/2025 12:00:00 AM","3","2","GWh","3","1","LT Plan","52.38021600007","24","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","3","421S Hays DG PV","1","All Periods","Mean","12/31/2026 12:00:00 AM","4","2","GWh","4","1","LT Plan","52.48343999998","24","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","3","421S Hays DG PV","1","All Periods","Mean","12/31/2027 12:00:00 AM","5","2","GWh","5","1","LT Plan","49.27068000003","24","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","3","421S Hays DG PV","1","All Periods","Mean","12/31/2028 12:00:00 AM","6","2","GWh","6","1","LT Plan","50.42611199998","24","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","3","421S Hays DG PV","1","All Periods","Mean","12/31/2029 12:00:00 AM","7","2","GWh","7","1","LT Plan","51.82972800006","24","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","3","421S Hays DG PV","1","All Periods","Mean","12/31/2030 12:00:00 AM","8","2","GWh","8","1","LT Plan","52.07140799999","24","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","3","421S Hays DG PV","1","All Periods","Mean","12/31/2031 12:00:00 AM","9","2","GWh","9","1","LT Plan","55.36043999996","24","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","3","421S Hays DG PV","1","All Periods","Mean","12/31/2032 12:00:00 AM","10","2","GWh","10","1","LT Plan","53.4993447663","24","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","3","421S Hays DG PV","1","All Periods","Mean","12/31/2033 12:00:00 AM","11","2","GWh","11","1","LT Plan","54.96616799987","24","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","3","421S Hays DG PV","1","All Periods","Mean","12/31/2034 12:00:00 AM","12","2","GWh","12","1","LT Plan","54.8376240001","24","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","3","421S Hays DG PV","1","All Periods","Mean","12/31/2035 12:00:00 AM","13","2","GWh","13","1","LT Plan","54.62102399999","24","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","3","421S Hays DG PV","1","All Periods","Mean","12/31/2036 12:00:00 AM","14","2","GWh","14","1","LT Plan","55.01659199998","24","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","3","421S Hays DG PV","1","All Periods","Mean","12/31/2037 12:00:00 AM","15","2","GWh","15","1","LT Plan","55.17823199997","24","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","3","421S Hays DG PV","1","All Periods","Mean","12/31/2038 12:00:00 AM","16","2","GWh","16","1","LT Plan","55.07678400005","24","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","3","421S Hays DG PV","1","All Periods","Mean","12/31/2039 12:00:00 AM","17","2","GWh","17","1","LT Plan","54.8406959999","24","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","3","421S Hays DG PV","1","All Periods","Mean","12/31/2040 12:00:00 AM","18","2","GWh","18","1","LT Plan","54.84974399999","24","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","3","421S Hays DG PV","1","All Periods","Mean","12/31/2041 12:00:00 AM","19","2","GWh","19","1","LT Plan","55.35441599994","24","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","3","421S Hays DG PV","1","All Periods","Mean","12/31/2042 12:00:00 AM","20","2","GWh","20","1","LT Plan","55.24670400001","24","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","3","421S Hays DG PV","1","All Periods","Mean","12/31/2043 12:00:00 AM","21","2","GWh","21","1","LT Plan","55.17379199998","24","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","3","421S Hays DG PV","1","All Periods","Mean","12/31/2044 12:00:00 AM","22","2","GWh","22","1","LT Plan","54.9619440000301","24","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","3","421S Hays DG PV","1","All Periods","Mean","12/31/2045 12:00:00 AM","23","2","GWh","23","1","LT Plan","54.96448799997","24","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","3","421S Hays DG PV","1","All Periods","Mean","12/31/2046 12:00:00 AM","24","2","GWh","24","1","LT Plan","54.9953519999699","24","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","3","421S Hays DG PV","1","All Periods","Mean","12/31/2047 12:00:00 AM","25","2","GWh","25","1","LT Plan","55.43090399997","24","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","3","421S Hays DG PV","1","All Periods","Mean","12/31/2048 12:00:00 AM","26","2","GWh","26","1","LT Plan","53.47792800002","24","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","3","421S Hays DG PV","1","All Periods","Mean","12/31/2049 12:00:00 AM","27","2","GWh","27","1","LT Plan","52.39295999992","24","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","3","421S Hays DG PV","1","All Periods","Mean","12/31/2050 12:00:00 AM","28","2","GWh","28","1","LT Plan","53.07888000006","24","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","3","421S Hays DG PV","1","All Periods","Mean","12/31/2051 12:00:00 AM","29","2","GWh","29","1","LT Plan","54.96448800004","24","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","3","421S Hays DG PV","1","All Periods","Mean","12/31/2052 12:00:00 AM","30","2","GWh","30","1","LT Plan","55.53424800006","24","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","4","895S Suffield DG PV","1","All Periods","Mean","12/31/2023 12:00:00 AM","1","2","GWh","1","1","LT Plan","50.38411399999","22","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","4","895S Suffield DG PV","1","All Periods","Mean","12/31/2024 12:00:00 AM","2","2","GWh","2","1","LT Plan","48.19667023689","22","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","4","895S Suffield DG PV","1","All Periods","Mean","12/31/2025 12:00:00 AM","3","2","GWh","3","1","LT Plan","48.10238400001","22","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","4","895S Suffield DG PV","1","All Periods","Mean","12/31/2026 12:00:00 AM","4","2","GWh","4","1","LT Plan","47.95177200006","22","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","4","895S Suffield DG PV","1","All Periods","Mean","12/31/2027 12:00:00 AM","5","2","GWh","5","1","LT Plan","46.92043400001","22","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","4","895S Suffield DG PV","1","All Periods","Mean","12/31/2028 12:00:00 AM","6","2","GWh","6","1","LT Plan","45.99801799999","22","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","4","895S Suffield DG PV","1","All Periods","Mean","12/31/2029 12:00:00 AM","7","2","GWh","7","1","LT Plan","47.58665999995","22","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","4","895S Suffield DG PV","1","All Periods","Mean","12/31/2030 12:00:00 AM","8","2","GWh","8","1","LT Plan","47.27034400006","22","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","4","895S Suffield DG PV","1","All Periods","Mean","12/31/2031 12:00:00 AM","9","2","GWh","9","1","LT Plan","50.7442122216","22","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","4","895S Suffield DG PV","1","All Periods","Mean","12/31/2032 12:00:00 AM","10","2","GWh","10","1","LT Plan","49.5755699999601","22","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","4","895S Suffield DG PV","1","All Periods","Mean","12/31/2033 12:00:00 AM","11","2","GWh","11","1","LT Plan","50.38565400001","22","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","4","895S Suffield DG PV","1","All Periods","Mean","12/31/2034 12:00:00 AM","12","2","GWh","12","1","LT Plan","50.26782199994","22","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","4","895S Suffield DG PV","1","All Periods","Mean","12/31/2035 12:00:00 AM","13","2","GWh","13","1","LT Plan","50.37260800003","22","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","4","895S Suffield DG PV","1","All Periods","Mean","12/31/2036 12:00:00 AM","14","2","GWh","14","1","LT Plan","50.59229726253","22","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","4","895S Suffield DG PV","1","All Periods","Mean","12/31/2037 12:00:00 AM","15","2","GWh","15","1","LT Plan","50.16340999988","22","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","4","895S Suffield DG PV","1","All Periods","Mean","12/31/2038 12:00:00 AM","16","2","GWh","16","1","LT Plan","50.36125600002","22","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","4","895S Suffield DG PV","1","All Periods","Mean","12/31/2039 12:00:00 AM","17","2","GWh","17","1","LT Plan","50.27063800005","22","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","4","895S Suffield DG PV","1","All Periods","Mean","12/31/2040 12:00:00 AM","18","2","GWh","18","1","LT Plan","50.26436799997","22","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","4","895S Suffield DG PV","1","All Periods","Mean","12/31/2041 12:00:00 AM","19","2","GWh","19","1","LT Plan","50.72447600002","22","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","4","895S Suffield DG PV","1","All Periods","Mean","12/31/2042 12:00:00 AM","20","2","GWh","20","1","LT Plan","50.64281199999","22","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","4","895S Suffield DG PV","1","All Periods","Mean","12/31/2043 12:00:00 AM","21","2","GWh","21","1","LT Plan","50.03193800009","22","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","4","895S Suffield DG PV","1","All Periods","Mean","12/31/2044 12:00:00 AM","22","2","GWh","22","1","LT Plan","50.4165640001","22","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","4","895S Suffield DG PV","1","All Periods","Mean","12/31/2045 12:00:00 AM","23","2","GWh","23","1","LT Plan","50.34933199998","22","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","4","895S Suffield DG PV","1","All Periods","Mean","12/31/2046 12:00:00 AM","24","2","GWh","24","1","LT Plan","50.36693200003","22","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","4","895S Suffield DG PV","1","All Periods","Mean","12/31/2047 12:00:00 AM","25","2","GWh","25","1","LT Plan","50.8116620001","22","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","4","895S Suffield DG PV","1","All Periods","Mean","12/31/2048 12:00:00 AM","26","2","GWh","26","1","LT Plan","49.02143400002","22","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","4","895S Suffield DG PV","1","All Periods","Mean","12/31/2049 12:00:00 AM","27","2","GWh","27","1","LT Plan","49.79728576276","22","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","4","895S Suffield DG PV","1","All Periods","Mean","12/31/2050 12:00:00 AM","28","2","GWh","28","1","LT Plan","48.6556400001501","22","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","4","895S Suffield DG PV","1","All Periods","Mean","12/31/2051 12:00:00 AM","29","2","GWh","29","1","LT Plan","50.3841140000099","22","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","4","895S Suffield DG PV","1","All Periods","Mean","12/31/2052 12:00:00 AM","30","2","GWh","30","1","LT Plan","50.90639400005","22","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","5","Burdett 368S DG P/V","1","All Periods","Mean","12/31/2023 12:00:00 AM","1","2","GWh","1","1","LT Plan","22.90186999996","10","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","5","Burdett 368S DG P/V","1","All Periods","Mean","12/31/2024 12:00:00 AM","2","2","GWh","2","1","LT Plan","21.81953999993","10","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","5","Burdett 368S DG P/V","1","All Periods","Mean","12/31/2025 12:00:00 AM","3","2","GWh","3","1","LT Plan","21.73587000004","10","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","5","Burdett 368S DG P/V","1","All Periods","Mean","12/31/2026 12:00:00 AM","4","2","GWh","4","1","LT Plan","21.83929999996","10","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","5","Burdett 368S DG P/V","1","All Periods","Mean","12/31/2027 12:00:00 AM","5","2","GWh","5","1","LT Plan","21.0534611956","10","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","5","Burdett 368S DG P/V","1","All Periods","Mean","12/31/2028 12:00:00 AM","6","2","GWh","6","1","LT Plan","21.39545999992","10","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","5","Burdett 368S DG P/V","1","All Periods","Mean","12/31/2029 12:00:00 AM","7","2","GWh","7","1","LT Plan","21.50676000004","10","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","5","Burdett 368S DG P/V","1","All Periods","Mean","12/31/2030 12:00:00 AM","8","2","GWh","8","1","LT Plan","21.48651999994","10","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","5","Burdett 368S DG P/V","1","All Periods","Mean","12/31/2031 12:00:00 AM","9","2","GWh","9","1","LT Plan","23.06685000001","10","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","5","Burdett 368S DG P/V","1","All Periods","Mean","12/31/2032 12:00:00 AM","10","2","GWh","10","1","LT Plan","22.53435000005","10","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","5","Burdett 368S DG P/V","1","All Periods","Mean","12/31/2033 12:00:00 AM","11","2","GWh","11","1","LT Plan","22.90256999999","10","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","5","Burdett 368S DG P/V","1","All Periods","Mean","12/31/2034 12:00:00 AM","12","2","GWh","12","1","LT Plan","22.74595999996","10","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","5","Burdett 368S DG P/V","1","All Periods","Mean","12/31/2035 12:00:00 AM","13","2","GWh","13","1","LT Plan","22.87596999994","10","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","5","Burdett 368S DG P/V","1","All Periods","Mean","12/31/2036 12:00:00 AM","14","2","GWh","14","1","LT Plan","22.8193","10","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","5","Burdett 368S DG P/V","1","All Periods","Mean","12/31/2037 12:00:00 AM","15","2","GWh","15","1","LT Plan","22.92098999996","10","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","5","Burdett 368S DG P/V","1","All Periods","Mean","12/31/2038 12:00:00 AM","16","2","GWh","16","1","LT Plan","22.93683215568","10","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","5","Burdett 368S DG P/V","1","All Periods","Mean","12/31/2039 12:00:00 AM","17","2","GWh","17","1","LT Plan","22.85029","10","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","5","Burdett 368S DG P/V","1","All Periods","Mean","12/31/2040 12:00:00 AM","18","2","GWh","18","1","LT Plan","22.98182349206","10","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","5","Burdett 368S DG P/V","1","All Periods","Mean","12/31/2041 12:00:00 AM","19","2","GWh","19","1","LT Plan","22.92813000005","10","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","5","Burdett 368S DG P/V","1","All Periods","Mean","12/31/2042 12:00:00 AM","20","2","GWh","20","1","LT Plan","23.01946000001","10","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","5","Burdett 368S DG P/V","1","All Periods","Mean","12/31/2043 12:00:00 AM","21","2","GWh","21","1","LT Plan","22.97326999994","10","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","5","Burdett 368S DG P/V","1","All Periods","Mean","12/31/2044 12:00:00 AM","22","2","GWh","22","1","LT Plan","22.95308999994","10","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","5","Burdett 368S DG P/V","1","All Periods","Mean","12/31/2045 12:00:00 AM","23","2","GWh","23","1","LT Plan","22.88606000003","10","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","5","Burdett 368S DG P/V","1","All Periods","Mean","12/31/2046 12:00:00 AM","24","2","GWh","24","1","LT Plan","22.9648801112","10","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","5","Burdett 368S DG P/V","1","All Periods","Mean","12/31/2047 12:00:00 AM","25","2","GWh","25","1","LT Plan","23.08834999991","10","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","5","Burdett 368S DG P/V","1","All Periods","Mean","12/31/2048 12:00:00 AM","26","2","GWh","26","1","LT Plan","23.06535000012","10","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","5","Burdett 368S DG P/V","1","All Periods","Mean","12/31/2049 12:00:00 AM","27","2","GWh","27","1","LT Plan","21.7851600001","10","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","5","Burdett 368S DG P/V","1","All Periods","Mean","12/31/2050 12:00:00 AM","28","2","GWh","28","1","LT Plan","21.7899200001","10","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","5","Burdett 368S DG P/V","1","All Periods","Mean","12/31/2051 12:00:00 AM","29","2","GWh","29","1","LT Plan","22.90187000003","10","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","5","Burdett 368S DG P/V","1","All Periods","Mean","12/31/2052 12:00:00 AM","30","2","GWh","30","1","LT Plan","23.13926999987","10","0","0","0","0","0"
"RPS_000_SPS_000","1","1","System","1","Generator","97","PV_SUN","1","6","Claresholm Solar","1","All Periods","Mean","12/31/2023 12:00:00 AM","1","2","GWh","1","1","LT Plan","297.72430999999","130","0","0","0","0","0"
